,Start seed number,MRPS 10,MRPS 20,MRPS 40,MRPS 80,MRPS 160,Eva 10,Eva 20,Eva 40,Eva 80,Eva 160
0,19520197.0,14.0,34.0,208.0,384.0,2176.0,98.0,408.0,3328.0,10368.0,84864.0
1,19520207.0,18.0,34.0,96.0,448.0,1664.0,90.0,272.0,1728.0,11648.0,68224.0
2,19520217.0,8.0,24.0,208.0,352.0,1536.0,75.2,456.0,3536.0,8800.0,62976.0
3,19520227.0,14.0,56.0,176.0,288.0,2176.0,126.0,728.0,2992.0,8064.0,93568.0
4,19520237.0,10.0,34.0,136.0,544.0,2176.0,70.0,340.0,2312.0,14688.0,80512.0
5,19520247.0,12.0,48.0,112.0,416.0,1536.0,84.0,576.0,1904.0,11648.0,66048.0
6,19520257.0,22.0,44.0,96.0,544.0,2176.0,132.0,484.0,2016.0,13600.0,100096.0
7,19520267.0,22.0,52.0,224.0,544.0,2560.0,176.0,468.0,3360.0,15776.0,104960.0
8,19520277.0,18.0,34.0,136.0,320.0,2304.0,144.0,374.0,2176.0,8320.0,78336.0
9,19520287.0,18.0,36.0,136.0,288.0,2816.0,108.0,324.0,2448.0,8064.0,109824.0
10,Mean,15.6,39.6,152.8,412.8,2112.0,110.32000000000001,443.0,2580.0,11097.6,84940.8
11,Std,4.5431266766402185,6.687301398920195,22.729716232280598,34.852833457267145,100.43107088944137,32.07181940582729,89.82928253080952,316.4262947354407,959.0235033616226,3957.6950059346414
