,Start seed number,MRPS 10,MRPS 20,Eva 10,Eva 20
0,19520197.0,136.0,1152.0,2448.0,124416.0
1,19520207.0,68.0,1408.0,952.0,180224.0
2,19520217.0,176.0,2176.0,3872.0,174080.0
3,19520227.0,160.0,256.0,4480.0,22538.0
4,19520237.0,176.0,2560.0,2464.0,215040.0
5,19520247.0,136.0,1536.0,2176.0,129024.0
6,19520257.0,68.0,2176.0,952.0,191488.0
7,19520267.0,144.0,1280.0,2880.0,92160.0
8,19520277.0,136.0,1280.0,2448.0,128000.0
9,19520287.0,272.0,2176.0,4896.0,208896.0
10,Mean,147.2,1600.0,2756.8,146586.6
11,Std,55.072316094386295,456.6031099324664,1262.2529698915348,39979.73162516227
